municipality,residents,resident_workers,jobs
Belford Roxo,483087,222075,117925
Cachoeiras de Macacu,1536,736,431
Duque de Caxias,804950,370043,303828
Engenheiro Paulo de Frontin,167,79,5
Guapimirim,12404,5702,4812
Itaboraí,211134,97063,67977
Itaguaí,117232,53891,51791
Japeri,96289,44266,25600
Magé,218335,100372,67851
Mangaratiba,1339,643,471
Maricá,146389,67304,51082
Mendes,3,1,0
Mesquita,167286,76905,43879
Miguel Pereira,312,149,86
Nilópolis,146774,67474,41507
Niterói,484991,222952,304630
Nova Iguaçu,785666,361192,224154
Paracambi,40406,18578,15397
Piraí,9087,4349,4553
Queimados,142162,65352,40907
Rio Claro,67,31,0
Rio de Janeiro,6229245,3100300,3753696
Seropédica,81044,37259,30866
São Gonçalo,901445,414423,252250
São João de Meriti,440962,202723,130164
