group,municipality_code,municipality,bairro,residents,target_jobs,formal_component_estimated,informal_component_estimated,spatial_source,jobs,rounding_difference,resident_workers,rais_2023_formal_links,cempre_2024_municipality_persons
0,3300456,Belford Roxo,Total no recorte municipal,483087,117909,45256.87,72651.79,CEMPRE 2024 municipality + mapped employment/local services proxy,117925,16,222075,,53788
1,3300803,Cachoeiras de Macacu,Total no recorte municipal,1536,474,229.57,244.02,CEMPRE 2024 municipality + mapped employment/local services proxy,431,-43,736,,10115
2,3301702,Duque de Caxias,Total no recorte municipal,804950,303824,168607.36,135216.42,CEMPRE 2024 municipality + mapped employment/local services proxy,303828,4,370043,,201190
3,3301801,Engenheiro Paulo de Frontin,Total no recorte municipal,167,58,30.23,27.33,CEMPRE 2024 municipality + mapped employment/local services proxy,5,-53,79,,2634
4,3301850,Guapimirim,Total no recorte municipal,12404,4810,2709.7,2100.58,CEMPRE 2024 municipality + mapped employment/local services proxy,4812,2,5702,,13422
5,3301900,Itaboraí,Total no recorte municipal,211134,67985,34062.71,33922.61,CEMPRE 2024 municipality + mapped employment/local services proxy,67977,-8,97063,,43022
6,3302007,Itaguaí,Total no recorte municipal,117232,51794,31106.31,20687.98,CEMPRE 2024 municipality + mapped employment/local services proxy,51791,-3,53891,,37385
7,3302270,Japeri,Total no recorte municipal,96289,25603,10844.72,14758.11,CEMPRE 2024 municipality + mapped employment/local services proxy,25600,-3,44266,,12889
8,3302502,Magé,Total no recorte municipal,218335,67848,33092.06,34755.61,CEMPRE 2024 municipality + mapped employment/local services proxy,67851,3,100372,,41177
9,3302601,Mangaratiba,Total no recorte municipal,1339,525,297.16,227.46,CEMPRE 2024 municipality + mapped employment/local services proxy,471,-54,643,,11786
10,3302700,Maricá,Total no recorte municipal,146389,51078,27037.69,24039.79,CEMPRE 2024 municipality + mapped employment/local services proxy,51082,4,67304,,43759
11,3302809,Mendes,Total no recorte municipal,3,1,0.53,0.49,CEMPRE 2024 municipality + mapped employment/local services proxy,0,-1,1,,3650
12,3302858,Mesquita,Total no recorte municipal,167286,43866,18307.04,25558.63,CEMPRE 2024 municipality + mapped employment/local services proxy,43879,13,76905,,21758
13,3302908,Miguel Pereira,Total no recorte municipal,312,128,74.33,53.77,CEMPRE 2024 municipality + mapped employment/local services proxy,86,-42,149,,7527
14,3303203,Nilópolis,Total no recorte municipal,146774,41503,18680.62,22822.52,CEMPRE 2024 municipality + mapped employment/local services proxy,41507,4,67474,,22202
15,3303302,Niterói,Total no recorte municipal,484991,304642,207136.76,97505.33,CEMPRE 2024 municipality + mapped employment/local services proxy,304630,-12,222952,,246183
16,3303500,Nova Iguaçu,Total no recorte municipal,785666,224181,101748.08,122432.88,CEMPRE 2024 municipality + mapped employment/local services proxy,224154,-27,361192,,120959
17,3303609,Paracambi,Total no recorte municipal,40406,15390,8584.18,6805.77,CEMPRE 2024 municipality + mapped employment/local services proxy,15397,7,18578,,10447
18,3304003,Piraí,Total no recorte municipal,9087,4549,2874.74,1674.02,CEMPRE 2024 municipality + mapped employment/local services proxy,4553,4,4349,,10330
19,3304144,Queimados,Total no recorte municipal,142162,40900,18702.49,22197.89,CEMPRE 2024 municipality + mapped employment/local services proxy,40907,7,65352,,22228
20,3304409,Rio Claro,Total no recorte municipal,67,20,9.76,10.61,CEMPRE 2024 municipality + mapped employment/local services proxy,0,-20,31,,3013
21,3304557,Rio de Janeiro,Abolição,9196,3300,1777.98,1522.23,RAIS 2023 neighborhood shares + CEMPRE 2024,3301,1,4577,1581.0,2997653
22,3304557,Rio de Janeiro,Acari,29673,4659,537.55,4121.87,RAIS 2023 neighborhood shares + CEMPRE 2024,4651,-8,14769,478.0,2997653
23,3304557,Rio de Janeiro,Alto da Boa Vista,10066,2517,995.26,1521.77,RAIS 2023 neighborhood shares + CEMPRE 2024,2514,-3,5011,885.0,2997653
24,3304557,Rio de Janeiro,Anchieta,52240,11381,3705.52,7675.85,RAIS 2023 neighborhood shares + CEMPRE 2024,11379,-2,26000,3295.0,2997653
25,3304557,Rio de Janeiro,Andaraí,29679,10285,5420.52,4864.56,RAIS 2023 neighborhood shares + CEMPRE 2024,10298,13,14771,4820.0,2997653
26,3304557,Rio de Janeiro,Anil,26790,16015,10736.45,5278.84,RAIS 2023 neighborhood shares + CEMPRE 2024,16026,11,13333,9547.0,2997653
27,3304557,Rio de Janeiro,Bancários,11907,2174,480.2,1694.18,RAIS 2023 neighborhood shares + CEMPRE 2024,2187,13,5928,427.0,2997653
28,3304557,Rio de Janeiro,Bangu,254325,68575,29469.85,39105.6,RAIS 2023 neighborhood shares + CEMPRE 2024,68572,-3,126587,26205.0,2997653
29,3304557,Rio de Janeiro,Barra Olímpica,55282,67497,52060.6,15436.59,RAIS 2023 neighborhood shares + CEMPRE 2024,67501,4,27513,46293.0,2997653
30,3304557,Rio de Janeiro,Barra da Tijuca,142263,263421,211862.43,51558.29,RAIS 2023 neighborhood shares + CEMPRE 2024,263420,-1,70803,188391.0,2997653
31,3304557,Rio de Janeiro,Barra de Guaratiba,4755,1588,816.45,771.47,RAIS 2023 neighborhood shares + CEMPRE 2024,1590,2,2367,726.0,2997653
32,3304557,Rio de Janeiro,Barros Filho,20444,4833,1779.1,3053.9,RAIS 2023 neighborhood shares + CEMPRE 2024,4832,-1,10174,1582.0,2997653
33,3304557,Rio de Janeiro,Benfica,20969,23142,17611.06,5530.72,RAIS 2023 neighborhood shares + CEMPRE 2024,23141,-1,10438,15660.0,2997653
34,3304557,Rio de Janeiro,Bento Ribeiro,37306,9459,3802.24,5657.16,RAIS 2023 neighborhood shares + CEMPRE 2024,9465,6,18566,3381.0,2997653
35,3304557,Rio de Janeiro,Bonsucesso,18409,66148,55247.68,10900.26,RAIS 2023 neighborhood shares + CEMPRE 2024,66161,13,9162,49127.0,2997653
36,3304557,Rio de Janeiro,Botafogo,76728,223406,184871.17,38534.44,RAIS 2023 neighborhood shares + CEMPRE 2024,223412,6,38188,164390.0,2997653
