municipality,bairro,population
Belford Roxo,Andrade Araújo,15229
Belford Roxo,Areia Branca,16011
Belford Roxo,Barro Vermelho,7131
Belford Roxo,Bom Pastor,21785
Belford Roxo,Centro,24648
Belford Roxo,Glaucia,19632
Belford Roxo,Heliópolis,22811
Belford Roxo,Itaipu,9707
Belford Roxo,Lote XV,12134
Belford Roxo,Maringá,18337
Belford Roxo,Nova Aurora,25955
Belford Roxo,Nova Piam,9564
Belford Roxo,Parque dos Ferreiras,12575
Belford Roxo,Pauline,27085
Belford Roxo,Piam,13760
Belford Roxo,Recantus,9330
Belford Roxo,Redentor,8484
Belford Roxo,Santa Amélia,13367
Belford Roxo,Santa Maria,8154
Belford Roxo,Santa Tereza,19126
Belford Roxo,Santo Antônio da Prata,13851
Belford Roxo,Shangri-lá,23638
Belford Roxo,São Bernardo,3581
Belford Roxo,São Francisco de Assis,19104
Belford Roxo,São José,20182
Belford Roxo,São Vicente,21933
Belford Roxo,Vale do Ipê,19694
Belford Roxo,Wona,18596
Belford Roxo,Xavantes,17896
Belford Roxo,das Graças,9787
Cachoeiras de Macacu,Cachoeiras de Macacu,1536
Duque de Caxias,Alto da Serra,68
Duque de Caxias,Amapá,8100
Duque de Caxias,Bar dos Cavalheiros,37735
Duque de Caxias,Barro Branco,19506
Duque de Caxias,Campos Elíseos,16494
Duque de Caxias,Cangulo,12042
Duque de Caxias,Capivari,1678
Duque de Caxias,Centenário,17342
Duque de Caxias,Centro,22547
Duque de Caxias,Chácaras Arcampo,14352
Duque de Caxias,Chácaras Rio-Petrópolis,13583
Duque de Caxias,Cidade Parque Paulista,27210
Duque de Caxias,Cidade dos Meninos,2440
Duque de Caxias,Doutor Laureano,38863
Duque de Caxias,Duque de Caxias,2391
Duque de Caxias,Figueira,16511
Duque de Caxias,Gramacho,49207
Duque de Caxias,Imbariê,29773
Duque de Caxias,Jardim Anhangá,12286
Duque de Caxias,Jardim Primavera,40270
Duque de Caxias,Lamarão,159
Duque de Caxias,Mantiquira,13764
Duque de Caxias,Meio da Serra,2414
