municipality,activity,active_links,establishments
3300456,agriculture,3,2
3300456,business_services,1465,140
3300456,construction,941,107
3300456,domestic,2,2
3300456,education,2049,146
3300456,entertainment,187,30
3300456,food,858,111
3300456,health,937,97
3300456,hotel,75,3
3300456,industry,1550,146
3300456,office,813,113
3300456,personal_services,353,95
3300456,public_admin,29426,4
3300456,retail,6509,804
3300456,transport,3585,79
3300456,utilities,127,15
3300456,vehicle_trade,348,102
3300456,wholesale,1844,64
3300803,agriculture,523,169
3300803,business_services,1003,39
3300803,construction,261,34
3300803,education,308,27
3300803,entertainment,24,7
3300803,food,256,38
3300803,health,479,44
3300803,hotel,79,15
3300803,industry,1201,76
3300803,office,451,55
3300803,personal_services,140,31
3300803,public_admin,1661,6
3300803,retail,1582,245
3300803,transport,249,15
3300803,utilities,354,6
3300803,vehicle_trade,91,33
3300803,wholesale,115,25
3301702,agriculture,20,9
3301702,business_services,19650,725
3301702,construction,7316,388
3301702,education,7413,413
3301702,entertainment,807,74
3301702,food,5452,558
3301702,health,7594,556
3301702,hotel,504,21
3301702,industry,19505,926
3301702,office,14038,659
3301702,other,70,1
3301702,personal_services,4136,347
3301702,public_admin,17185,6
3301702,retail,24797,2948
3301702,transport,22585,627
3301702,utilities,4333,82
3301702,vehicle_trade,2945,445
3301702,wholesale,17624,590
3301801,agriculture,79,12
3301801,business_services,123,6
3301801,construction,21,4
3301801,education,49,4
3301801,entertainment,1,1
3301801,food,7,3
3301801,health,9,6
3301801,hotel,99,9
3301801,industry,148,17
3301801,office,43,12
3301801,personal_services,16,6
3301801,public_admin,1333,2
3301801,retail,241,50
3301801,transport,16,3
3301801,utilities,79,2
3301801,vehicle_trade,4,3
3301801,wholesale,44,4
3301850,agriculture,81,19
3301850,business_services,1052,48
3301850,construction,432,20
3301850,education,233,19
3301850,entertainment,33,10
3301850,food,341,48
3301850,health,445,33
3301850,hotel,102,11
3301850,industry,1137,61
3301850,office,768,38
3301850,personal_services,96,25
3301850,public_admin,4724,3
3301850,retail,1346,204
3301850,transport,103,20
3301850,utilities,58,3
3301850,vehicle_trade,127,32
3301850,wholesale,330,23
3301900,agriculture,155,50
3301900,business_services,4845,222
3301900,construction,2741,121
3301900,education,1522,118
3301900,entertainment,187,23
3301900,food,1305,132
3301900,health,1672,150
3301900,hotel,130,10
3301900,industry,2938,187
3301900,office,2508,173
3301900,personal_services,721,92
3301900,public_admin,8985,4
3301900,retail,6678,737
3301900,transport,1867,81
3301900,utilities,573,16
3301900,vehicle_trade,683,142
3301900,wholesale,1806,73
3302007,agriculture,198,37
3302007,business_services,2038,80
3302007,construction,3358,78
3302007,education,1307,68
3302007,entertainment,182,15
3302007,food,2089,117
3302007,health,753,100
3302007,hotel,129,17
3302007,industry,3665,77
3302007,office,1238,112
3302007,personal_services,152,49
3302007,public_admin,9852,4
3302007,retail,3695,476
3302007,transport,3901,75
3302007,utilities,700,9
3302007,vehicle_trade,643,78
3302007,wholesale,450,43
3302270,agriculture,4,3
3302270,business_services,2842,17
3302270,construction,306,34
3302270,education,358,25
3302270,entertainment,37,10
3302270,food,137,16
3302270,health,124,21
3302270,industry,2368,51
3302270,office,176,21
3302270,personal_services,162,12
3302270,public_admin,2774,4
3302270,retail,1152,139
3302270,transport,721,22
3302270,utilities,52,2
3302270,vehicle_trade,71,17
3302270,wholesale,64,12
3302502,agriculture,71,22
3302502,business_services,1877,133
3302502,construction,2172,92
3302502,education,1390,87
3302502,entertainment,163,35
3302502,food,728,128
3302502,health,575,126
3302502,hotel,31,5
3302502,industry,2628,152
3302502,office,1213,164
3302502,personal_services,285,81
3302502,public_admin,9625,3
3302502,retail,5907,873
3302502,transport,1001,61
3302502,utilities,196,11
3302502,vehicle_trade,191,63
3302502,wholesale,694,63
3302601,agriculture,95,17
3302601,business_services,1112,87
3302601,construction,402,32
