municipality_code,employed_pnad_calibrated,census_2022_local_outside_home,census_2022_other_municipality,census_2022_home_workers,census_2022_foreign_or_multiple,modeled_in_map_commuters,excluded_home_external_multiple_or_boundary,local_target,historical_external_destination_share_2010,destination_boundary_coverage_proxy,raw_scaled_job_target,reconciled_job_target,job_target_adjustment
3300456,200113,77802,56914,28123,2230,161368,38745,94319,0.027015474336804617,1.0,103783,103099,-684
3300803,704,15993,3034,4118,143,90,614,23,0.24710702420752192,0.0473638701812115,1322,1313,-9
3301702,373177,194007,63758,50758,3333,304556,68621,231938,0.043052155027692995,0.999064116456466,284976,283098,-1878
3301801,84,3370,1121,760,34,8,76,0,0.3000545187143885,0.004030077595703113,80,79,-1
3301850,6050,12603,4003,2580,80,3265,2785,2173,0.09724553977880618,0.549089504672559,7019,6973,-46
3301900,99953,49082,27048,11696,1823,79354,20599,51256,0.057127047952781396,0.9366353452203546,63916,63495,-421
3302007,53644,30151,7378,7383,270,42637,11007,35795,0.08232495500552442,0.9999227966424794,51068,50731,-337
3302270,33755,11819,11575,4732,333,27319,6436,14018,0.02074191544708096,1.0,23739,23582,-157
3302502,94740,49372,21913,11898,554,76852,17888,54155,0.04326572774455565,0.9694904593959196,58625,58239,-386
3302601,631,11762,2098,2590,52,68,563,2,0.181154079298705,0.004043197884561282,177,176,-1
3302700,73037,50517,20628,10834,1020,37725,35312,20508,0.050308375071454206,0.46133378099993927,30556,30355,-201
3302809,2,4544,1745,979,152,0,2,0,0.39512300091747327,0.0,0,0,0
3302858,70008,22847,24993,8854,1693,56677,13331,27394,0.020624698003320133,1.0,36777,36535,-242
3302908,151,7684,1817,2144,190,11,140,0,0.5065259781445415,0.0008034682651145353,42,42,0
3303203,65982,24987,20630,8926,1149,53425,12557,29604,0.023324747453586397,1.0,36362,36122,-240
3303302,263912,125376,53049,36723,3700,210797,53115,151193,0.060423175274220725,1.0,218688,217247,-1441
3303500,340395,154373,74708,49902,3205,271814,68581,186216,0.046633987366481854,1.0,202186,200853,-1333
3303609,19118,10536,3605,2169,208,15310,3808,11734,0.07361080507257191,0.9622254499674319,17504,17389,-115
3303906,10,96699,5137,22527,632,0,10,0,0.20258332555950076,0.00019668344879500614,40,40,0
3304003,4369,8159,2045,1459,161,1344,3025,1237,0.829800272288284,0.41015576691764105,7274,7226,-48
3304144,61609,24758,19534,7056,610,51947,9662,29357,0.021311917182151308,1.0,37020,36776,-244
3304409,29,4568,1203,853,110,0,29,0,0.8785348269899182,0.013371888379664198,126,125,-1
3304557,3091321,2086390,57469,488908,12205,2481016,610305,2438476,0.33894547238665906,1.0,2880230,2861247,-18983
3304904,427785,195467,86888,60112,5831,342705,85080,240076,0.03257045607074246,1.0,212380,240076,27696
3305109,202362,84015,53629,24400,3397,166795,35567,102764,0.022489771155985876,1.0,110826,110095,-731
3305554,36226,18391,7027,4660,465,29554,6672,21813,0.048035274970822925,1.0,29921,29724,-197
