group,expanded_informal,sample_records,share,activity,fine_activity_share,fine_split
1,14514.71953933999,81,0.00637614946453853,agriculture,0.00637614946453853,direct broad-group mapping
2,148396.59045024996,243,0.06518891654600514,industry,0.0521968359787583,RAIS formal activity composition proxy
2,148396.59045024996,243,0.06518891654600514,utilities,0.012992080567246841,RAIS formal activity composition proxy
3,240270.9099161396,438,0.10554824910351948,construction,0.1055482491035195,direct broad-group mapping
4,358269.32992068963,612,0.1573835987628224,retail,0.1160491075095292,RAIS formal activity composition proxy
4,358269.32992068963,612,0.1573835987628224,wholesale,0.030510129693649777,RAIS formal activity composition proxy
4,358269.32992068963,612,0.1573835987628224,vehicle_trade,0.010824361559643423,RAIS formal activity composition proxy
5,269476.9855869801,429,0.11837814245730933,transport,0.11837814245730933,direct broad-group mapping
6,215351.62946211998,375,0.0946014956169683,hotel,0.013379107638165874,RAIS formal activity composition proxy
6,215351.62946211998,375,0.0946014956169683,food,0.08122238797880243,RAIS formal activity composition proxy
7,296190.47546973993,497,0.13011307152364524,office,0.05259894214440804,RAIS formal activity composition proxy
7,296190.47546973993,497,0.13011307152364524,business_services,0.07751412937923718,RAIS formal activity composition proxy
8,1338.88483285,2,0.0005881567182140315,public_admin,0.0005881567182140315,direct broad-group mapping
9,177226.12549796,313,0.07785339993193144,education,0.0365093066646209,RAIS formal activity composition proxy
9,177226.12549796,313,0.07785339993193144,health,0.04134409326731054,RAIS formal activity composition proxy
10,262048.41077817997,425,0.11511485492625936,entertainment,0.02664742592763057,RAIS formal activity composition proxy
10,262048.41077817997,425,0.11511485492625936,personal_services,0.0884674289986288,RAIS formal activity composition proxy
11,277142.69827739015,543,0.12174560193413823,domestic,0.12174560193413823,direct broad-group mapping
12,16181.536539449997,22,0.0071083630146474295,other,0.007108363014647429,direct broad-group mapping
