id,municipality_code,municipality,bairro,residents,resident_workers,jobs,lon,lat
RES_0000,3300456,Belford Roxo,Municipal total,3147,1098,0,-43.404843,-22.7673549993261
RES_0001,3300456,Belford Roxo,Municipal total,6397,2151,0,-43.405464,-22.7612179993262
RES_0002,3300456,Belford Roxo,Municipal total,4053,1435,0,-43.404981,-22.7558059993263
RES_0003,3300456,Belford Roxo,Municipal total,2814,1026,0,-43.395633,-22.7734609993259
RES_0004,3300456,Belford Roxo,Municipal total,5299,1813,0,-43.398276,-22.769492999326
RES_0005,3300456,Belford Roxo,Municipal total,841,266,0,-43.401669,-22.7631019993262
RES_0006,3300456,Belford Roxo,Municipal total,551,192,0,-43.402738,-22.7552309993263
RES_0007,3300456,Belford Roxo,Municipal total,754,274,0,-43.394367,-22.7722259993259
RES_0008,3300456,Belford Roxo,Municipal total,792,252,0,-43.401484,-22.7615149993262
RES_0009,3300456,Belford Roxo,Municipal total,273,90,0,-43.411819,-22.7662449993261
RES_0010,3300456,Belford Roxo,Municipal total,5613,1881,0,-43.412438,-22.7617359993262
RES_0011,3300456,Belford Roxo,Municipal total,2431,815,0,-43.412098,-22.7550859993263
RES_0012,3300456,Belford Roxo,Municipal total,1664,543,0,-43.409397,-22.7665449993261
RES_0013,3300456,Belford Roxo,Municipal total,724,243,0,-43.410358,-22.7584069993263
RES_0014,3300456,Belford Roxo,Municipal total,1937,623,0,-43.408754,-22.7547349993264
RES_0015,3300456,Belford Roxo,Municipal total,1209,398,0,-43.409068,-22.7624889993262
RES_0016,3300456,Belford Roxo,Municipal total,3075,1013,0,-43.413603,-22.7520469993264
RES_0017,3300456,Belford Roxo,Municipal total,6027,2040,0,-43.414669,-22.7478579993265
RES_0018,3300456,Belford Roxo,Municipal total,2628,881,0,-43.406099,-22.7519949993264
RES_0019,3300456,Belford Roxo,Municipal total,4281,1431,0,-43.407601,-22.7481189993265
RES_0020,3300456,Belford Roxo,Municipal total,1202,402,0,-43.427403,-22.7338349993268
RES_0021,3300456,Belford Roxo,Municipal total,6680,2355,0,-43.421515,-22.7466089993265
RES_0022,3300456,Belford Roxo,Municipal total,6160,2084,0,-43.42479,-22.7399909993267
RES_0023,3300456,Belford Roxo,Municipal total,577,195,0,-43.41833,-22.7509889993264
RES_0024,3300456,Belford Roxo,Municipal total,610,203,0,-43.418081,-22.7469599993265
RES_0025,3300456,Belford Roxo,Municipal total,2324,787,0,-43.421129,-22.7390539993267
RES_0026,3300456,Belford Roxo,Municipal total,2624,865,0,-43.421915,-22.7350809993268
RES_0027,3300456,Belford Roxo,Municipal total,2085,702,0,-43.41459,-22.7441109993266
RES_0028,3300456,Belford Roxo,Municipal total,8137,2727,0,-43.41485,-22.7398369993267
RES_0029,3300456,Belford Roxo,Municipal total,738,244,0,-43.415227,-22.7356159993268
RES_0030,3300456,Belford Roxo,Municipal total,1338,448,0,-43.409332,-22.7446849993266
RES_0031,3300456,Belford Roxo,Municipal total,5119,1681,0,-43.406901,-22.7412749993267
RES_0032,3300456,Belford Roxo,Municipal total,446,137,0,-43.402072,-22.7430499993266
RES_0033,3300456,Belford Roxo,Municipal total,814,264,0,-43.402865,-22.7505579993264
RES_0034,3300456,Belford Roxo,Municipal total,1044,349,0,-43.40372,-22.7466339993265
RES_0035,3300456,Belford Roxo,Municipal total,4916,1709,0,-43.400574,-22.7530239993264
RES_0036,3300456,Belford Roxo,Municipal total,4484,1554,0,-43.399131,-22.7477739993265
RES_0037,3300456,Belford Roxo,Municipal total,2502,876,0,-43.393615,-22.7463549993265
RES_0038,3300456,Belford Roxo,Municipal total,1878,616,0,-43.39864,-22.7442349993266
RES_0039,3300456,Belford Roxo,Municipal total,1170,382,0,-43.396628,-22.7424899993266
RES_0040,3300456,Belford Roxo,Municipal total,4997,1665,0,-43.391758,-22.7390509993267
RES_0041,3300456,Belford Roxo,Municipal total,729,248,0,-43.389671,-22.7349149993268
RES_0042,3300456,Belford Roxo,Municipal total,364,120,0,-43.387557,-22.7362399993268
RES_0043,3300456,Belford Roxo,Municipal total,426,132,0,-43.386604,-22.7351599993268
RES_0044,3300456,Belford Roxo,Municipal total,143,47,0,-43.404791889078936,-22.70959855
RES_0045,3300456,Belford Roxo,Municipal total,817,252,0,-43.406004,-22.7043539993275
RES_0046,3300456,Belford Roxo,Municipal total,1541,482,0,-43.400764,-22.7101639993274
RES_0047,3300456,Belford Roxo,Municipal total,198,70,0,-43.387604,-22.7162699993272
RES_0048,3300456,Belford Roxo,Municipal total,206,73,0,-43.401733,-22.6951879993277
RES_0049,3300456,Belford Roxo,Municipal total,2060,681,0,-43.384658,-22.7153679993273
RES_0050,3300456,Belford Roxo,Municipal total,3261,1058,0,-43.384754,-22.7130299993273
RES_0051,3300456,Belford Roxo,Municipal total,399,128,0,-43.391699,-22.7156869993272
RES_0052,3300456,Belford Roxo,Municipal total,202,71,0,-43.388999,-22.7140319993273
RES_0053,3300456,Belford Roxo,Municipal total,503,171,0,-43.391936,-22.7172579993272
RES_0054,3300456,Belford Roxo,Municipal total,1843,615,0,-43.404402,-22.7231249993271
RES_0055,3300456,Belford Roxo,Municipal total,964,321,0,-43.404485,-22.7190819993272
RES_0056,3300456,Belford Roxo,Municipal total,3642,1176,0,-43.399485,-22.7240519993271
RES_0057,3300456,Belford Roxo,Municipal total,2057,674,0,-43.399675,-22.7205139993271
RES_0058,3300456,Belford Roxo,Municipal total,969,306,0,-43.394103,-22.7224669993271
RES_0059,3300456,Belford Roxo,Municipal total,529,188,0,-43.392478,-22.7208029993271
RES_0060,3300456,Belford Roxo,Municipal total,506,156,0,-43.403178,-22.7148749993273
RES_0061,3300456,Belford Roxo,Municipal total,783,240,0,-43.39575,-22.725063999327
RES_0062,3300456,Belford Roxo,Municipal total,255,77,0,-43.392285,-22.724176999327
RES_0063,3300456,Belford Roxo,Municipal total,411,123,0,-43.401852,-22.7238309993271
RES_0064,3300456,Belford Roxo,Municipal total,528,173,0,-43.400942,-22.7194329993272
RES_0065,3300456,Belford Roxo,Municipal total,1353,439,0,-43.397712,-22.7177519993272
RES_0066,3300456,Belford Roxo,Municipal total,424,145,0,-43.395225,-22.7170249993272
RES_0067,3300456,Belford Roxo,Municipal total,1442,491,0,-43.404654,-22.7383219993267
RES_0068,3300456,Belford Roxo,Municipal total,5524,1860,0,-43.399182,-22.7385189993267
RES_0069,3300456,Belford Roxo,Municipal total,2624,898,0,-43.398116,-22.7351889993268
RES_0070,3300456,Belford Roxo,Municipal total,2196,727,0,-43.393355,-22.7322489993269
RES_0071,3300456,Belford Roxo,Municipal total,1517,523,0,-43.388548,-22.725433999327
RES_0072,3300456,Belford Roxo,Municipal total,487,162,0,-43.389251,-22.7217189993271
RES_0073,3300456,Belford Roxo,Municipal total,751,266,0,-43.386289,-22.7209099993271
RES_0074,3300456,Belford Roxo,Municipal total,713,241,0,-43.400917,-22.7381939993267
RES_0075,3300456,Belford Roxo,Municipal total,765,248,0,-43.399033,-22.7317649993269
RES_0076,3300456,Belford Roxo,Municipal total,1124,381,0,-43.397468,-22.7289129993269
RES_0077,3300456,Belford Roxo,Municipal total,363,120,0,-43.3957,-22.7283609993269
RES_0078,3300456,Belford Roxo,Municipal total,390,129,0,-43.393666,-22.728451999327
RES_0079,3300456,Belford Roxo,Municipal total,500,173,0,-43.421372046088905,-22.7313773
RES_0080,3300456,Belford Roxo,Municipal total,2537,831,0,-43.412733,-22.7312839993269
RES_0081,3300456,Belford Roxo,Municipal total,1273,418,0,-43.412605,-22.726435999327
RES_0082,3300456,Belford Roxo,Municipal total,576,192,0,-43.407948,-22.7373149993268
RES_0083,3300456,Belford Roxo,Municipal total,4223,1376,0,-43.407864,-22.7322499993269
RES_0084,3300456,Belford Roxo,Municipal total,3724,1230,0,-43.407567,-22.726185999327
RES_0085,3300456,Belford Roxo,Municipal total,379,123,0,-43.40301,-22.729023999327
RES_0086,3300456,Belford Roxo,Municipal total,1112,361,0,-43.402312,-22.727633999327
RES_0087,3300456,Belford Roxo,Municipal total,740,245,0,-43.412284,-22.7332869993268
RES_0088,3300456,Belford Roxo,Municipal total,2454,834,0,-43.404006,-22.7341749993268
RES_0089,3300456,Belford Roxo,Municipal total,917,310,0,-43.400449,-22.7335859993268
RES_0090,3300456,Belford Roxo,Municipal total,669,203,0,-43.406974,-22.7310079993269
RES_0091,3300456,Belford Roxo,Municipal total,491,168,0,-43.42983,-22.7306909993269
RES_0092,3300456,Belford Roxo,Municipal total,4349,1510,0,-43.429516,-22.726243999327
RES_0093,3300456,Belford Roxo,Municipal total,535,186,0,-43.427124,-22.7193739993272
RES_0094,3300456,Belford Roxo,Municipal total,2156,743,0,-43.424553,-22.7302629993269
RES_0095,3300456,Belford Roxo,Municipal total,2176,748,0,-43.424803,-22.727144999327
RES_0096,3300456,Belford Roxo,Municipal total,174,59,0,-43.427093,-22.7162629993272
RES_0097,3300456,Belford Roxo,Municipal total,3384,1113,0,-43.421218,-22.725532999327
RES_0098,3300456,Belford Roxo,Municipal total,4158,1401,0,-43.422502,-22.7180079993272
RES_0099,3300456,Belford Roxo,Municipal total,2602,897,0,-43.421159,-22.7117139993273
RES_0100,3300456,Belford Roxo,Municipal total,543,185,0,-43.421113,-22.7070709993274
RES_0101,3300456,Belford Roxo,Municipal total,2040,669,0,-43.415683,-22.7240359993271
RES_0102,3300456,Belford Roxo,Municipal total,3452,1160,0,-43.414226,-22.7185559993272
RES_0103,3300456,Belford Roxo,Municipal total,1840,617,0,-43.41466,-22.7105139993274
RES_0104,3300456,Belford Roxo,Municipal total,2156,695,0,-43.416739,-22.7045669993275
RES_0105,3300456,Belford Roxo,Municipal total,1515,487,0,-43.408239,-22.7177219993272
RES_0106,3300456,Belford Roxo,Municipal total,694,219,0,-43.405377,-22.7130859993273
RES_0107,3300456,Belford Roxo,Municipal total,1080,348,0,-43.408328,-22.7189509993272
RES_0108,3300456,Belford Roxo,Municipal total,1637,525,0,-43.365416,-22.7598569993262
RES_0109,3300456,Belford Roxo,Municipal total,640,217,0,-43.365626,-22.7566459993263
RES_0110,3300456,Belford Roxo,Municipal total,732,241,0,-43.363099,-22.7598649993262
RES_0111,3300456,Belford Roxo,Municipal total,2427,811,0,-43.362901,-22.7539299993264
RES_0112,3300456,Belford Roxo,Municipal total,367,123,0,-43.362036,-22.7430319993266
RES_0113,3300456,Belford Roxo,Municipal total,505,173,0,-43.359375,-22.7408719993267
RES_0114,3300456,Belford Roxo,Municipal total,233,73,0,-43.35604,-22.7466889993265
RES_0115,3300456,Belford Roxo,Municipal total,144,48,0,-43.358004,-22.7418629993266
