municipality_code,cep,activity,rais_active_links,candidate_address_units,floor_area_proxy,fitted_links_per_proxy_area,method,municipality,lon_min,lon_max,lat_min,lat_max,units,bounding_diagonal_m
3300456,26110005,education,4,1,132.9784346147494,0.0300800653247901,postal_activity,3300456,-43.372638,-43.370565,-22.7610499993262,-22.7569289993263,17.0,504.77899669417695
3300456,26110005,industry,1,5,1065.6310438119906,0.0009384110999833,postal_unclassified_establishments,3300456,-43.372638,-43.370565,-22.7610499993262,-22.7569289993263,17.0,504.77899669417695
3300456,26110006,retail,14,1,287.3191277143648,0.0487263069165306,postal_unclassified_establishments,3300456,-43.366919,-43.366919,-22.7625899993262,-22.7625899993262,1.0,0.0
3300456,26110010,retail,4,3,405.25410461572426,0.009870350366452,postal_activity,3300456,-43.370608,-43.366772,-22.7591929993262,-22.7542309993264,15.0,677.0373809321388
3300456,26110030,personal_services,4,8,709.3843495817648,0.0056386922017074,postal_activity,3300456,-43.372301,-43.369762,-22.7615759993262,-22.7564119993263,18.0,630.032863435442
3300456,26110040,construction,2,6,353.0582606029295,0.005664787439287,postal_unclassified_establishments,3300456,-43.37206,-43.370911,-22.7574359993263,-22.7563659993263,18.0,167.28177974934152
3300456,26110040,office,20,6,353.0582606029295,0.0566478743928702,postal_unclassified_establishments,3300456,-43.37206,-43.370911,-22.7574359993263,-22.7563659993263,18.0,167.28177974934152
3300456,26110040,retail,2,7,523.7783279236494,0.0038184092265297,postal_activity,3300456,-43.37206,-43.370911,-22.7574359993263,-22.7563659993263,18.0,167.28177974934152
3300456,26110060,wholesale,1,7,963.1271657353128,0.0010382844919928,postal_unclassified_establishments,3300456,-43.369723,-43.368591,-22.7619989993262,-22.7581399993263,13.0,444.2479279304911
3300456,26110070,retail,2,2,379.3856033259989,0.0052716813249274,postal_unclassified_establishments,3300456,-43.367889,-43.366864,-22.7624779993262,-22.7592139993262,7.0,377.61511033547214
3300456,26110080,retail,13,6,988.343300905744,0.0131533243439667,postal_unclassified_establishments,3300456,-43.370389,-43.368193,-22.7604559993262,-22.7571989993263,12.0,426.12147519227466
3300456,26110090,retail,1,8,621.3316554202427,0.0016094464064021,postal_activity,3300456,-43.367781,-43.365548,-22.7618029993262,-22.7530009993264,35.0,1004.5539813725239
3300456,26110100,industry,40,201,32162.913197128935,0.0012436684374589,municipal_activity_fallback,3300456,-43.366571,-43.365547,-22.7616019993262,-22.7583139993263,6.0,380.14964101835403
3300456,26110100,personal_services,1,2,155.6420109862474,0.0064250005102308,postal_activity,3300456,-43.366571,-43.365547,-22.7616019993262,-22.7583139993263,6.0,380.14964101835403
3300456,26110110,industry,99,201,32162.913197128935,0.0030780793827108,municipal_activity_fallback,,,,,,,
3300456,26110120,business_services,97,1,117.27122966076746,0.8271423458302057,postal_unclassified_establishments,3300456,-43.39281,-43.38916,-22.7649139993261,-22.7540009993264,3.0,1269.070681325723
3300456,26110120,entertainment,5,1,117.27122966076746,0.0426362033933095,postal_unclassified_establishments,3300456,-43.39281,-43.38916,-22.7649139993261,-22.7540009993264,3.0,1269.070681325723
3300456,26110120,food,28,1,117.27122966076746,0.2387627390025336,postal_unclassified_establishments,3300456,-43.39281,-43.38916,-22.7649139993261,-22.7540009993264,3.0,1269.070681325723
3300456,26110120,health,3,1,117.27122966076746,0.0255817220359857,postal_unclassified_establishments,3300456,-43.39281,-43.38916,-22.7649139993261,-22.7540009993264,3.0,1269.070681325723
3300456,26110120,industry,516,2,621.3185102300083,0.8304919159884355,postal_activity,3300456,-43.39281,-43.38916,-22.7649139993261,-22.7540009993264,3.0,1269.070681325723
3300456,26110120,office,5,1,117.27122966076746,0.0426362033933095,postal_unclassified_establishments,3300456,-43.39281,-43.38916,-22.7649139993261,-22.7540009993264,3.0,1269.070681325723
