municipality_code,cep,activity,rais_active_links,candidate_address_units,floor_area_proxy,fitted_links_per_proxy_area,method
3300456,26110005,education,4,1,132.9784346147494,0.030080065324790167,postal_activity
3300456,26110005,industry,1,5,1065.6310438119906,0.0009384110999833354,postal_unclassified_establishments
3300456,26110006,retail,14,1,287.3191277143648,0.048726306916530626,postal_unclassified_establishments
3300456,26110010,retail,4,3,405.25410461572426,0.009870350366452021,postal_activity
3300456,26110030,personal_services,4,8,709.3843495817648,0.005638692201707438,postal_activity
3300456,26110040,construction,2,6,353.0582606029295,0.005664787439287024,postal_unclassified_establishments
3300456,26110040,office,20,6,353.0582606029295,0.056647874392870244,postal_unclassified_establishments
3300456,26110040,retail,2,7,523.7783279236494,0.0038184092265297733,postal_activity
3300456,26110060,wholesale,1,7,963.1271657353129,0.001038284491992847,postal_unclassified_establishments
3300456,26110070,retail,2,2,379.3856033259989,0.0052716813249274455,postal_unclassified_establishments
3300456,26110080,retail,13,6,988.343300905744,0.013153324343966774,postal_unclassified_establishments
3300456,26110090,retail,1,8,621.3316554202427,0.0016094464064021364,postal_activity
3300456,26110100,industry,40,201,32162.913197128935,0.0012436684374589131,municipal_activity_fallback
3300456,26110100,personal_services,1,2,155.64201098624739,0.006425000510230882,postal_activity
3300456,26110110,industry,99,201,32162.913197128935,0.00307807938271081,municipal_activity_fallback
3300456,26110120,business_services,97,1,117.27122966076746,0.8271423458302057,postal_unclassified_establishments
3300456,26110120,entertainment,5,1,117.27122966076746,0.04263620339330958,postal_unclassified_establishments
3300456,26110120,food,28,1,117.27122966076746,0.2387627390025336,postal_unclassified_establishments
3300456,26110120,health,3,1,117.27122966076746,0.025581722035985743,postal_unclassified_establishments
3300456,26110120,industry,516,2,621.3185102300083,0.8304919159884355,postal_activity
3300456,26110120,office,5,1,117.27122966076746,0.04263620339330958,postal_unclassified_establishments
3300456,26110120,transport,217,1,117.27122966076746,1.8504112272696356,postal_unclassified_establishments
3300456,26110120,wholesale,206,1,117.27122966076746,1.7566115798043545,postal_unclassified_establishments
3300456,26110140,personal_services,1,5,820.2389007486179,0.0012191570030235304,postal_activity
3300456,26110140,retail,1,2,98.74522346864356,0.010127072124329629,postal_activity
3300456,26110140,transport,1,6,798.2616251210311,0.0012527221258423662,postal_unclassified_establishments
3300456,26110150,food,1,1,17.411414652126197,0.057433587102463546,postal_activity
3300456,26110150,health,7,1,607.1500334246759,0.011529275491456317,postal_activity
3300456,26110160,education,24,2,508.3106501421091,0.047215221623411366,postal_activity
3300456,26110160,industry,12,15,4115.369776510676,0.002915898364344434,postal_unclassified_establishments
3300456,26110160,retail,5,5,496.8124780096182,0.010064159459181701,postal_activity
3300456,26110163,industry,8,201,32162.913197128935,0.00024873368749178264,municipal_activity_fallback
3300456,26110163,retail,5,4307,525625.0314295385,9.51248456794673e-06,municipal_activity_fallback
3300456,26110170,industry,8,8,1358.7019077691743,0.005887972891077367,postal_unclassified_establishments
3300456,26110250,utilities,1,7,980.021991105289,0.001020385265918553,postal_unclassified_establishments
3300456,26110252,business_services,57,12897,1767137.270065728,3.225555873080528e-05,municipal_unclassified_fallback
3300456,26110252,construction,5,5,370.40321325813176,0.013498802982887545,municipal_activity_fallback
3300456,26110252,retail,6,1,98.60311115427629,0.06085000695984416,postal_activity
