id,municipality_code,census_population,age_15_59_measured_or_suppression_proxy,census_municipal_employment_calibrated
RES_0000,3300456,3147,2148.0,1171
RES_0001,3300456,6397,4208.0,2294
RES_0002,3300456,4053,2808.0,1531
RES_0003,3300456,2814,2007.0,1094
RES_0004,3300456,5299,3547.0,1933
RES_0005,3300456,841,521.3299419990631,284
RES_0006,3300456,551,376.0,205
RES_0007,3300456,754,535.0,292
RES_0008,3300456,792,491.0,268
RES_0009,3300456,273,177.0,96
RES_0010,3300456,5613,3680.0,2006
RES_0011,3300456,2431,1594.0,869
RES_0012,3300456,1664,1063.0,579
RES_0013,3300456,724,476.0,259
RES_0014,3300456,1937,1219.0,664
RES_0015,3300456,1209,778.0,424
RES_0016,3300456,3075,1981.0,1080
RES_0017,3300456,6027,3992.0,2176
RES_0018,3300456,2628,1723.0,939
RES_0019,3300456,4281,2800.0,1526
RES_0020,3300456,1202,787.0,429
RES_0021,3300456,6680,4608.0,2512
RES_0022,3300456,6160,4077.0,2222
RES_0023,3300456,577,382.0,208
RES_0024,3300456,610,398.0,217
RES_0025,3300456,2324,1539.0,839
RES_0026,3300456,2624,1694.0,923
RES_0027,3300456,2085,1373.0,748
RES_0028,3300456,8137,5335.0,2908
RES_0029,3300456,738,477.0,260
RES_0030,3300456,1338,877.0,478
RES_0031,3300456,5119,3290.0,1793
RES_0032,3300456,446,267.0,146
RES_0033,3300456,814,517.0,282
RES_0034,3300456,1044,683.0,372
RES_0035,3300456,4916,3342.0,1822
RES_0036,3300456,4484,3039.0,1657
RES_0037,3300456,2502,1714.0,934
RES_0038,3300456,1878,1206.0,657
RES_0039,3300456,1170,748.0,408
RES_0040,3300456,4997,3259.0,1776
RES_0041,3300456,729,485.0,264
RES_0042,3300456,364,234.0,128
RES_0043,3300456,426,259.0,141
RES_0044,3300456,143,92.0,50
RES_0045,3300456,817,493.0,269
RES_0046,3300456,1541,943.0,514
RES_0047,3300456,198,137.0,75
RES_0048,3300456,206,144.0,78
RES_0049,3300456,2060,1331.0,726
RES_0050,3300456,3261,2069.0,1128
RES_0051,3300456,399,251.0,137
RES_0052,3300456,202,140.0,76
RES_0053,3300456,503,333.0,182
RES_0054,3300456,1843,1204.0,656
RES_0055,3300456,964,628.0,342
RES_0056,3300456,3642,2301.0,1254
RES_0057,3300456,2057,1319.0,719
RES_0058,3300456,969,598.0,326
RES_0059,3300456,529,366.0,200
RES_0060,3300456,506,305.0,166
RES_0061,3300456,783,470.0,256
RES_0062,3300456,255,150.0,82
RES_0063,3300456,411,240.0,131
RES_0064,3300456,528,338.0,184
RES_0065,3300456,1353,860.0,469
RES_0066,3300456,424,285.0,155
RES_0067,3300456,1442,962.0,524
RES_0068,3300456,5524,3638.0,1983
RES_0069,3300456,2624,1757.0,958
RES_0070,3300456,2196,1424.0,776
RES_0071,3300456,1517,1023.0,558
RES_0072,3300456,487,317.0,173
RES_0073,3300456,751,521.0,284
RES_0074,3300456,713,472.0,257
RES_0075,3300456,765,487.0,265
RES_0076,3300456,1124,746.0,407
RES_0077,3300456,363,235.0,128
RES_0078,3300456,390,254.0,138
RES_0079,3300456,500,339.0,185
RES_0080,3300456,2537,1626.0,886
RES_0081,3300456,1273,819.0,446
RES_0082,3300456,576,375.7951725310216,205
RES_0083,3300456,4223,2691.0,1467
RES_0084,3300456,3724,2405.0,1311
RES_0085,3300456,379,240.0,131
RES_0086,3300456,1112,706.0,385
RES_0087,3300456,740,479.0,261
RES_0088,3300456,2454,1631.0,889
RES_0089,3300456,917,607.0,331
RES_0090,3300456,669,398.0,217
RES_0091,3300456,491,329.0,179
RES_0092,3300456,4349,2953.0,1610
RES_0093,3300456,535,365.0,199
RES_0094,3300456,2156,1454.0,793
RES_0095,3300456,2176,1464.0,798
RES_0096,3300456,174,116.0,63
RES_0097,3300456,3384,2178.0,1187
RES_0098,3300456,4158,2742.0,1495
RES_0099,3300456,2602,1756.0,957
RES_0100,3300456,543,361.0,197
RES_0101,3300456,2040,1309.0,714
RES_0102,3300456,3452,2269.0,1237
RES_0103,3300456,1840,1207.0,658
RES_0104,3300456,2156,1360.0,741
RES_0105,3300456,1515,953.0,519
RES_0106,3300456,694,429.0,234
RES_0107,3300456,1080,681.0,371
RES_0108,3300456,1637,1027.0,560
RES_0109,3300456,640,424.0,231
RES_0110,3300456,732,472.0,257
RES_0111,3300456,2427,1586.0,865
RES_0112,3300456,367,241.0,131
RES_0113,3300456,505,340.0,185
RES_0114,3300456,233,142.0,77
RES_0115,3300456,144,94.0,51
RES_0116,3300456,657,426.0,232
RES_0117,3300456,533,331.0,180
RES_0118,3300456,609,398.0,217
RES_0119,3300456,1126,779.0,425
RES_0120,3300456,2500,1711.6535407934396,933
RES_0121,3300456,3958,2550.0,1390
RES_0122,3300456,4307,2847.0,1552
RES_0123,3300456,1658,1063.0,579
RES_0124,3300456,2534,1609.0,877
RES_0125,3300456,3954,2558.0,1394
RES_0126,3300456,463,309.0,168
RES_0127,3300456,512,336.0,183
RES_0128,3300456,773,504.0,275
RES_0129,3300456,4373,2837.0,1546
RES_0130,3300456,2654,1730.0,943
RES_0131,3300456,1038,760.0,414
RES_0132,3300456,1722,1100.0,600
RES_0133,3300456,3276,2220.0,1210
RES_0134,3300456,5178,3294.0,1796
RES_0135,3300456,646,377.0,205
RES_0136,3300456,2211,1401.0,764
RES_0137,3300456,2056,1388.0,757
RES_0138,3300456,4098,2723.0,1484
RES_0139,3300456,1334,889.0,485
RES_0140,3300456,410,259.0,141
RES_0141,3300456,591,374.0,204
RES_0142,3300456,698,482.0,263
RES_0143,3300456,1175,749.0,408
RES_0144,3300456,678,442.0,241
RES_0145,3300456,4948,3201.0,1745
RES_0146,3300456,2784,1759.0,959
RES_0147,3300456,934,592.0,323
RES_0148,3300456,1800,1182.0,644
RES_0149,3300456,1473,960.0,523
RES_0150,3300456,2728,1809.0,986
RES_0151,3300456,4175,2667.0,1454
RES_0152,3300456,1491,947.0,516
RES_0153,3300456,2004,1332.0,726
RES_0154,3300456,323,200.0,109
RES_0155,3300456,822,549.0,299
RES_0156,3300456,692,431.0,235
RES_0157,3300456,304,194.0,106
RES_0158,3300456,754,505.0,275
RES_0159,3300456,2105,1324.0,722
RES_0160,3300456,2696,1709.0,932
RES_0161,3300456,1147,718.0,391
RES_0162,3300456,4708,2999.0,1635
RES_0163,3300456,6562,4086.5589068129334,2228
RES_0164,3300456,952,592.0,323
RES_0165,3300456,366,240.0,131
RES_0166,3300456,462,297.0,162
RES_0167,3300456,153,101.0,55
RES_0168,3300456,481,297.0,162
RES_0169,3300456,368,225.0,123
RES_0170,3300456,1164,727.0,396
RES_0171,3300456,2821,1810.0,987
RES_0172,3300456,2698,1805.0,984
RES_0173,3300456,2731,1790.0,976
RES_0174,3300456,1427,911.0,497
RES_0175,3300456,1206,821.0,448
RES_0176,3300456,558,364.0,198
RES_0177,3300456,324,247.0,135
RES_0178,3300456,322,218.0,119
RES_0179,3300456,846,531.0,289
RES_0180,3300456,503,318.0,173
RES_0181,3300456,523,329.0,179
RES_0182,3300456,3425,2278.0,1242
RES_0183,3300456,210,131.0,71
RES_0184,3300456,1887,1215.0,662
RES_0185,3300456,3694,2397.0,1307
RES_0186,3300456,2359,1526.0,832
RES_0187,3300456,5033,3264.0,1779
RES_0188,3300456,663,433.0,236
RES_0189,3300456,2219,1451.0,791
RES_0190,3300456,2436,1564.739916170197,853
RES_0191,3300456,330,216.0,118
RES_0192,3300456,391,265.0,144
RES_0193,3300456,614,386.0,210
RES_0194,3300456,556,366.0,200
RES_0195,3300456,3029,1974.0,1076
RES_0196,3300456,457,303.0,165
RES_0197,3300456,2606,1716.0,935
RES_0198,3300456,4071,2635.0,1436
RES_0199,3300456,485,317.0,173
RES_0200,3300456,140,92.0,50
RES_0201,3300456,1787,1198.0,653
RES_0202,3300456,956,642.0,350
RES_0203,3300456,2376,1541.0,840
RES_0204,3300456,842,519.0,283
RES_0205,3300456,6443,4154.0,2264
RES_0206,3300456,437,277.0,151
RES_0207,3300456,1080,726.0,396
RES_0208,3300456,355,244.0,133
RES_0209,3300456,2960,1870.0,1019
RES_0210,3300456,2367,1519.0,828
RES_0211,3300456,72,42.0,23
RES_0212,3300456,4769,3037.0,1655
RES_0213,3300456,6021,3876.149571108154,2113
RES_0214,3300456,1599,1065.0,581
RES_0215,3300456,852,580.0,316
RES_0216,3300456,276,177.0,96
RES_0217,3300456,21,13.72435666223057,7
RES_0218,3300456,158,93.0,51
RES_0219,3300456,244,148.0,81
RES_0220,3300456,1367,871.0,475
RES_0221,3300456,3899,2465.0,1344
RES_0222,3300456,201,124.0,68
RES_0223,3300456,5398,3533.0,1926
RES_0224,3300456,2243,1510.0,823
RES_0225,3300456,528,338.0,184
RES_0226,3300456,921,609.0,332
RES_0227,3300456,2618,1677.0,914
RES_0228,3300456,913,615.0,335
RES_0229,3300456,343,223.0,122
RES_0230,3300456,165,105.0,57
RES_0231,3300456,1726,1197.0,652
RES_0232,3300456,12,7.8424895212746115,4
RES_0233,3300456,110,71.8894872783506,39
RES_0234,3300456,2909,1943.0,1059
RES_0235,3300456,2676,1737.37789745567,947
RES_0236,3300456,509,328.0,179
RES_0237,3300456,1405,905.0,493
RES_0238,3300456,2279,1499.0,817
RES_0239,3300456,2438,1600.0,872
RES_0240,3300456,2202,1460.0,796
RES_0241,3300456,564,353.0,192
RES_0242,3300456,311,192.0,105
RES_0243,3300456,423,269.0,147
RES_0244,3300456,773,519.0,283
RES_0245,3300456,2878,1968.0,1073
RES_0246,3300456,2873,2044.0,1114
RES_0247,3300456,3966,2619.0,1428
RES_0248,3300456,894,554.0,302
RES_0249,3300456,3922,2482.0,1353
RES_0250,3300456,1043,681.0,371
RES_0251,3300456,2318,1520.0,829
RES_0252,3300456,496,327.0,178
RES_0253,3300456,1145,765.0,417
RES_0254,3300456,732,521.0,284
RES_0255,3300456,503,327.0,178
RES_0256,3300456,414,278.0,152
RES_0257,3300456,749,507.0,276
RES_0258,3300456,1022,680.0,371
RES_0259,3300456,5544,3673.0,2002
RES_0260,3300456,903,632.0,344
RES_0261,3300456,685,436.0,238
