id,commuters
RES_0000,1098
RES_0001,2151
RES_0002,1435
RES_0003,1026
RES_0004,1813
RES_0005,266
RES_0006,192
RES_0007,274
RES_0008,252
RES_0009,90
RES_0010,1881
RES_0011,815
RES_0012,543
RES_0013,243
RES_0014,623
RES_0015,398
RES_0016,1013
RES_0017,2040
RES_0018,881
RES_0019,1431
RES_0020,402
RES_0021,2355
RES_0022,2084
RES_0023,195
RES_0024,203
RES_0025,787
RES_0026,865
RES_0027,702
RES_0028,2727
RES_0029,244
RES_0030,448
RES_0031,1681
RES_0032,137
RES_0033,264
RES_0034,349
RES_0035,1709
RES_0036,1554
RES_0037,876
RES_0038,616
RES_0039,382
RES_0040,1665
RES_0041,248
RES_0042,120
RES_0043,132
RES_0044,47
RES_0045,252
RES_0046,482
RES_0047,70
RES_0048,73
RES_0049,681
RES_0050,1058
RES_0051,128
RES_0052,71
RES_0053,171
RES_0054,615
RES_0055,321
RES_0056,1176
RES_0057,674
RES_0058,306
RES_0059,188
RES_0060,156
RES_0061,240
RES_0062,77
RES_0063,123
RES_0064,173
RES_0065,439
RES_0066,145
RES_0067,491
RES_0068,1860
RES_0069,898
RES_0070,727
RES_0071,523
RES_0072,162
RES_0073,266
RES_0074,241
RES_0075,248
RES_0076,381
RES_0077,120
RES_0078,129
RES_0079,173
RES_0080,831
RES_0081,418
RES_0082,192
RES_0083,1376
RES_0084,1230
RES_0085,123
RES_0086,361
RES_0087,245
RES_0088,834
RES_0089,310
RES_0090,203
RES_0091,168
RES_0092,1510
RES_0093,186
RES_0094,743
RES_0095,748
RES_0096,59
RES_0097,1113
RES_0098,1401
RES_0099,897
RES_0100,185
RES_0101,669
RES_0102,1160
RES_0103,617
RES_0104,695
RES_0105,487
RES_0106,219
RES_0107,348
RES_0108,525
RES_0109,217
RES_0110,241
RES_0111,811
RES_0112,123
RES_0113,173
RES_0114,73
RES_0115,48
RES_0116,218
RES_0117,169
RES_0118,203
RES_0119,398
RES_0120,875
RES_0121,1303
RES_0122,1456
RES_0123,543
RES_0124,822
RES_0125,1307
RES_0126,157
RES_0127,172
RES_0128,258
RES_0129,1450
RES_0130,885
RES_0131,388
RES_0132,563
RES_0133,1135
RES_0134,1684
RES_0135,192
RES_0136,716
RES_0137,710
RES_0138,1392
RES_0139,455
RES_0140,132
RES_0141,191
RES_0142,247
RES_0143,382
RES_0144,226
RES_0145,1636
RES_0146,899
RES_0147,303
RES_0148,604
RES_0149,490
RES_0150,925
RES_0151,1364
RES_0152,484
RES_0153,681
RES_0154,102
RES_0155,281
RES_0156,220
RES_0157,99
RES_0158,258
RES_0159,677
RES_0160,874
RES_0161,367
RES_0162,1533
RES_0163,2089
RES_0164,303
RES_0165,123
RES_0166,152
RES_0167,52
RES_0168,152
RES_0169,115
RES_0170,371
RES_0171,926
RES_0172,922
RES_0173,915
RES_0174,466
RES_0175,420
RES_0176,185
RES_0177,127
RES_0178,111
RES_0179,271
RES_0180,162
RES_0181,168
RES_0182,1164
RES_0183,67
RES_0184,621
RES_0185,1226
RES_0186,781
RES_0187,1668
RES_0188,221
RES_0189,742
RES_0190,800
RES_0191,110
RES_0192,135
RES_0193,197
RES_0194,188
RES_0195,1009
RES_0196,155
RES_0197,877
RES_0198,1347
RES_0199,162
RES_0200,47
RES_0201,612
RES_0202,328
RES_0203,788
RES_0204,265
RES_0205,2123
RES_0206,142
RES_0207,371
RES_0208,125
RES_0209,956
RES_0210,777
RES_0211,22
RES_0212,1552
RES_0213,1981
RES_0214,545
RES_0215,296
RES_0216,90
RES_0217,6
RES_0218,48
RES_0219,76
RES_0220,445
RES_0221,1260
RES_0222,64
RES_0223,1806
RES_0224,772
RES_0225,173
RES_0226,311
RES_0227,857
RES_0228,314
RES_0229,114
RES_0230,53
RES_0231,611
RES_0232,4
RES_0233,36
RES_0234,993
RES_0235,888
RES_0236,168
RES_0237,462
RES_0238,766
RES_0239,818
RES_0240,747
RES_0241,180
RES_0242,98
RES_0243,138
RES_0244,265
RES_0245,1006
RES_0246,1044
RES_0247,1339
RES_0248,283
RES_0249,1268
RES_0250,348
RES_0251,777
RES_0252,167
RES_0253,391
RES_0254,266
RES_0255,167
RES_0256,143
RES_0257,259
RES_0258,348
RES_0259,1877
RES_0260,323
RES_0261,223
RES_0262,581
RES_0263,622
RES_0264,426
RES_0265,307
RES_0266,712
RES_0267,1095
RES_0268,460
RES_0269,197
RES_0270,294
RES_0271,48
RES_0272,253
RES_0273,91
RES_0274,13
RES_0275,7
RES_0276,9
RES_0277,21
RES_0278,9
RES_0279,5
RES_0280,12
RES_0281,5
RES_0282,8
RES_0283,1
RES_0284,1010
RES_0285,1977
RES_0286,515
RES_0287,352
RES_0288,1148
RES_0289,2064
RES_0290,1671
RES_0291,126
RES_0292,1973
RES_0293,282
RES_0294,148
RES_0295,654
RES_0296,1035
RES_0297,2021
RES_0298,488
RES_0299,1946
RES_0300,987
RES_0301,700
RES_0302,657
