id,municipality_code,population,census_worker_estimate,employed_pnad_calibrated,non_employed_estimated
RES_0000,3300456,3147,1171,1362,1785
RES_0001,3300456,6397,2294,2668,3729
RES_0002,3300456,4053,1531,1780,2273
RES_0003,3300456,2814,1094,1272,1542
RES_0004,3300456,5299,1933,2248,3051
RES_0005,3300456,841,284,330,511
RES_0006,3300456,551,205,238,313
RES_0007,3300456,754,292,340,414
RES_0008,3300456,792,268,312,480
RES_0009,3300456,273,96,112,161
RES_0010,3300456,5613,2006,2333,3280
RES_0011,3300456,2431,869,1011,1420
RES_0012,3300456,1664,579,673,991
RES_0013,3300456,724,259,301,423
RES_0014,3300456,1937,664,772,1165
RES_0015,3300456,1209,424,493,716
RES_0016,3300456,3075,1080,1256,1819
RES_0017,3300456,6027,2176,2530,3497
RES_0018,3300456,2628,939,1092,1536
RES_0019,3300456,4281,1526,1775,2506
RES_0020,3300456,1202,429,499,703
RES_0021,3300456,6680,2512,2921,3759
RES_0022,3300456,6160,2222,2584,3576
RES_0023,3300456,577,208,242,335
RES_0024,3300456,610,217,252,358
RES_0025,3300456,2324,839,976,1348
RES_0026,3300456,2624,923,1073,1551
RES_0027,3300456,2085,748,870,1215
RES_0028,3300456,8137,2908,3382,4755
RES_0029,3300456,738,260,302,436
RES_0030,3300456,1338,478,556,782
RES_0031,3300456,5119,1793,2085,3034
RES_0032,3300456,446,146,170,276
RES_0033,3300456,814,282,328,486
RES_0034,3300456,1044,372,433,611
RES_0035,3300456,4916,1822,2119,2797
RES_0036,3300456,4484,1657,1927,2557
RES_0037,3300456,2502,934,1086,1416
RES_0038,3300456,1878,657,764,1114
RES_0039,3300456,1170,408,474,696
RES_0040,3300456,4997,1776,2065,2932
RES_0041,3300456,729,264,307,422
RES_0042,3300456,364,128,149,215
RES_0043,3300456,426,141,164,262
RES_0044,3300456,143,50,58,85
RES_0045,3300456,817,269,313,504
RES_0046,3300456,1541,514,598,943
RES_0047,3300456,198,75,87,111
RES_0048,3300456,206,78,91,115
RES_0049,3300456,2060,726,844,1216
RES_0050,3300456,3261,1128,1312,1949
RES_0051,3300456,399,137,159,240
RES_0052,3300456,202,76,88,114
RES_0053,3300456,503,182,212,291
RES_0054,3300456,1843,656,763,1080
RES_0055,3300456,964,342,398,566
RES_0056,3300456,3642,1254,1458,2184
RES_0057,3300456,2057,719,836,1221
RES_0058,3300456,969,326,379,590
RES_0059,3300456,529,200,233,296
RES_0060,3300456,506,166,193,313
RES_0061,3300456,783,256,298,485
RES_0062,3300456,255,82,95,160
RES_0063,3300456,411,131,152,259
RES_0064,3300456,528,184,214,314
RES_0065,3300456,1353,469,545,808
RES_0066,3300456,424,155,180,244
RES_0067,3300456,1442,524,609,833
RES_0068,3300456,5524,1983,2306,3218
RES_0069,3300456,2624,958,1114,1510
RES_0070,3300456,2196,776,902,1294
RES_0071,3300456,1517,558,649,868
RES_0072,3300456,487,173,201,286
RES_0073,3300456,751,284,330,421
RES_0074,3300456,713,257,299,414
RES_0075,3300456,765,265,308,457
RES_0076,3300456,1124,407,473,651
RES_0077,3300456,363,128,149,214
RES_0078,3300456,390,138,160,230
RES_0079,3300456,500,185,215,285
RES_0080,3300456,2537,886,1030,1507
RES_0081,3300456,1273,446,519,754
RES_0082,3300456,576,205,238,338
RES_0083,3300456,4223,1467,1706,2517
RES_0084,3300456,3724,1311,1525,2199
RES_0085,3300456,379,131,152,227
RES_0086,3300456,1112,385,448,664
RES_0087,3300456,740,261,304,436
RES_0088,3300456,2454,889,1034,1420
RES_0089,3300456,917,331,385,532
RES_0090,3300456,669,217,252,417
RES_0091,3300456,491,179,208,283
RES_0092,3300456,4349,1610,1872,2477
RES_0093,3300456,535,199,231,304
RES_0094,3300456,2156,793,922,1234
RES_0095,3300456,2176,798,928,1248
RES_0096,3300456,174,63,73,101
RES_0097,3300456,3384,1187,1380,2004
RES_0098,3300456,4158,1495,1738,2420
RES_0099,3300456,2602,957,1113,1489
RES_0100,3300456,543,197,229,314
RES_0101,3300456,2040,714,830,1210
RES_0102,3300456,3452,1237,1438,2014
RES_0103,3300456,1840,658,765,1075
RES_0104,3300456,2156,741,862,1294
RES_0105,3300456,1515,519,604,911
RES_0106,3300456,694,234,272,422
RES_0107,3300456,1080,371,431,649
RES_0108,3300456,1637,560,651,986
RES_0109,3300456,640,231,269,371
RES_0110,3300456,732,257,299,433
RES_0111,3300456,2427,865,1006,1421
RES_0112,3300456,367,131,152,215
RES_0113,3300456,505,185,215,290
RES_0114,3300456,233,77,90,143
RES_0115,3300456,144,51,59,85
RES_0116,3300456,657,232,270,387
RES_0117,3300456,533,180,209,324
RES_0118,3300456,609,217,252,357
RES_0119,3300456,1126,425,494,632
RES_0120,3300456,2500,933,1085,1415
RES_0121,3300456,3958,1390,1616,2342
RES_0122,3300456,4307,1552,1805,2502
RES_0123,3300456,1658,579,673,985
RES_0124,3300456,2534,877,1020,1514
RES_0125,3300456,3954,1394,1621,2333
RES_0126,3300456,463,168,195,268
RES_0127,3300456,512,183,213,299
RES_0128,3300456,773,275,320,453
RES_0129,3300456,4373,1546,1798,2575
RES_0130,3300456,2654,943,1097,1557
RES_0131,3300456,1038,414,481,557
RES_0132,3300456,1722,600,698,1024
RES_0133,3300456,3276,1210,1407,1869
RES_0134,3300456,5178,1796,2088,3090
RES_0135,3300456,646,205,238,408
RES_0136,3300456,2211,764,888,1323
RES_0137,3300456,2056,757,880,1176
RES_0138,3300456,4098,1484,1726,2372
RES_0139,3300456,1334,485,564,770
RES_0140,3300456,410,141,164,246
RES_0141,3300456,591,204,237,354
RES_0142,3300456,698,263,306,392
RES_0143,3300456,1175,408,474,701
RES_0144,3300456,678,241,280,398
RES_0145,3300456,4948,1745,2029,2919
RES_0146,3300456,2784,959,1115,1669
RES_0147,3300456,934,323,376,558
RES_0148,3300456,1800,644,749,1051
RES_0149,3300456,1473,523,608,865
RES_0150,3300456,2728,986,1147,1581
RES_0151,3300456,4175,1454,1691,2484
RES_0152,3300456,1491,516,600,891
RES_0153,3300456,2004,726,844,1160
RES_0154,3300456,323,109,127,196
RES_0155,3300456,822,299,348,474
RES_0156,3300456,692,235,273,419
