id,municipality_code,population,cnefe_matched,dwelling_units,geo_level,old_lon,old_lat,lon,lat
RES_0000,3300456,3147,True,1370,1.0,-43.40445054999999,-22.7682347,-43.404843,-22.7673549993261
RES_0001,3300456,6397,True,2788,1.0,-43.40520815,-22.761527299999994,-43.405464,-22.7612179993262
RES_0002,3300456,4053,True,1485,1.0,-43.40547432336574,-22.755408650000007,-43.404981,-22.7558059993263
RES_0003,3300456,2814,True,1199,3.0,-43.3955754,-22.774009699999997,-43.395633,-22.7734609993259
RES_0004,3300456,5299,True,2252,3.0,-43.39716965,-22.7684528,-43.398276,-22.769492999326
RES_0005,3300456,841,True,438,1.0,-43.40196990340309,-22.7647307,-43.401669,-22.7631019993262
RES_0006,3300456,551,True,218,1.0,-43.402635908505154,-22.755473649999995,-43.402738,-22.7552309993263
RES_0007,3300456,754,True,373,2.0,-43.394695434170856,-22.7721552,-43.394367,-22.7722259993259
RES_0008,3300456,792,True,300,1.0,-43.401341699168896,-22.7615384,-43.401484,-22.7615149993262
RES_0009,3300456,273,True,111,1.0,-43.411863700000005,-22.76625084999999,-43.411819,-22.7662449993261
RES_0010,3300456,5613,True,2216,1.0,-43.41261818663451,-22.76139945,-43.412438,-22.7617359993262
RES_0011,3300456,2431,True,1023,1.0,-43.412043802048316,-22.7560718,-43.412098,-22.7550859993263
RES_0012,3300456,1664,True,742,1.0,-43.409556923678345,-22.766833349999995,-43.409397,-22.7665449993261
RES_0013,3300456,724,True,276,1.0,-43.410277300000004,-22.758207849999994,-43.410358,-22.7584069993263
RES_0014,3300456,1937,True,800,1.0,-43.4088385,-22.755468949999994,-43.408754,-22.7547349993264
RES_0015,3300456,1209,True,480,1.0,-43.4098299,-22.761857799999994,-43.409068,-22.7624889993262
RES_0016,3300456,3075,True,1248,1.0,-43.41302743891025,-22.752176999999996,-43.413603,-22.7520469993264
RES_0017,3300456,6027,True,2140,1.0,-43.414512099999996,-22.747316999999995,-43.414669,-22.7478579993265
RES_0018,3300456,2628,True,1052,1.0,-43.4067426,-22.751820350000003,-43.406099,-22.7519949993264
RES_0019,3300456,4281,True,1791,1.0,-43.40733045,-22.7480086,-43.407601,-22.7481189993265
RES_0020,3300456,1202,True,481,1.0,-43.427048299999996,-22.734052749999996,-43.427403,-22.7338349993268
RES_0021,3300456,6680,True,2175,1.0,-43.42184392988095,-22.745593449999994,-43.421515,-22.7466089993265
RES_0022,3300456,6160,True,2306,1.0,-43.4247051,-22.7402041,-43.42479,-22.7399909993267
RES_0023,3300456,577,True,232,1.0,-43.418166936430836,-22.75111845,-43.41833,-22.7509889993264
RES_0024,3300456,610,True,273,1.0,-43.4183042,-22.746966649999997,-43.418081,-22.7469599993265
RES_0025,3300456,2324,True,981,1.0,-43.42121865,-22.73771875,-43.421129,-22.7390539993267
RES_0026,3300456,2624,True,1060,1.0,-43.42145370379808,-22.73404085,-43.421915,-22.7350809993268
RES_0027,3300456,2085,True,913,1.0,-43.414326119192,-22.7440506,-43.41459,-22.7441109993266
RES_0028,3300456,8137,True,3465,1.0,-43.41434095,-22.739101700000003,-43.41485,-22.7398369993267
RES_0029,3300456,738,True,273,1.0,-43.415537900000004,-22.7355752,-43.415227,-22.7356159993268
RES_0030,3300456,1338,True,592,1.0,-43.41047598206535,-22.744891449999997,-43.409332,-22.7446849993266
RES_0031,3300456,5119,True,2267,1.0,-43.406597739561235,-22.7416753,-43.406901,-22.7412749993267
RES_0032,3300456,446,True,194,1.0,-43.4019668785058,-22.743373049999995,-43.402072,-22.7430499993266
RES_0033,3300456,814,True,328,1.0,-43.40304230054102,-22.750791099999994,-43.402865,-22.7505579993264
RES_0034,3300456,1044,True,434,1.0,-43.40377607889138,-22.74595625,-43.40372,-22.7466339993265
RES_0035,3300456,4916,True,1967,1.0,-43.40123695,-22.753136650000002,-43.400574,-22.7530239993264
RES_0036,3300456,4484,True,1734,1.0,-43.39951706736663,-22.747391099999998,-43.399131,-22.7477739993265
RES_0037,3300456,2502,True,928,1.0,-43.39462911575809,-22.746147399999998,-43.393615,-22.7463549993265
RES_0038,3300456,1878,True,733,1.0,-43.398277323946175,-22.744172750000004,-43.39864,-22.7442349993266
RES_0039,3300456,1170,True,504,1.0,-43.395999700000004,-22.742862300000002,-43.396628,-22.7424899993266
RES_0040,3300456,4997,True,2068,1.0,-43.39186076505038,-22.739843049999998,-43.391758,-22.7390509993267
RES_0041,3300456,729,True,295,1.0,-43.38970329425682,-22.7349108,-43.389671,-22.7349149993268
RES_0042,3300456,364,True,172,1.0,-43.38729590748363,-22.736282250000002,-43.387557,-22.7362399993268
RES_0043,3300456,426,True,190,1.0,-43.3865405741621,-22.735266499999994,-43.386604,-22.7351599993268
RES_0044,3300456,143,False,0,,-43.404791889078936,-22.70959855,-43.404791889078936,-22.70959855
RES_0045,3300456,817,True,72,1.0,-43.40999077968617,-22.702352199999996,-43.406004,-22.7043539993275
RES_0046,3300456,1541,True,732,1.0,-43.401291517004154,-22.71119275,-43.400764,-22.7101639993274
RES_0047,3300456,198,True,84,1.0,-43.38766747451875,-22.716387899999997,-43.387604,-22.7162699993272
RES_0048,3300456,206,True,90,1.0,-43.39398217969838,-22.6916414,-43.401733,-22.6951879993277
RES_0049,3300456,2060,True,830,1.0,-43.38460283253218,-22.71495,-43.384658,-22.7153679993273
RES_0050,3300456,3261,True,1305,1.0,-43.3846621,-22.7129762,-43.384754,-22.7130299993273
RES_0051,3300456,399,True,191,1.0,-43.391625095286415,-22.715700299999998,-43.391699,-22.7156869993272
RES_0052,3300456,202,True,97,1.0,-43.38869631896759,-22.7142409,-43.388999,-22.7140319993273
RES_0053,3300456,503,True,208,1.0,-43.3916648,-22.7173326,-43.391936,-22.7172579993272
RES_0054,3300456,1843,True,729,1.0,-43.4041378,-22.722537999999997,-43.404402,-22.7231249993271
RES_0055,3300456,964,True,400,1.0,-43.403841605817234,-22.7184224,-43.404485,-22.7190819993272
RES_0056,3300456,3642,True,1490,1.0,-43.398225343676714,-22.72351685,-43.399485,-22.7240519993271
RES_0057,3300456,2057,True,884,1.0,-43.39918646299766,-22.720086799999997,-43.399675,-22.7205139993271
RES_0058,3300456,969,True,393,1.0,-43.394813408250684,-22.72198154999999,-43.394103,-22.7224669993271
RES_0059,3300456,529,True,211,1.0,-43.3931882,-22.719839799999995,-43.392478,-22.7208029993271
RES_0060,3300456,506,True,209,1.0,-43.4028986,-22.714662099999998,-43.403178,-22.7148749993273
RES_0061,3300456,783,True,296,1.0,-43.3957714,-22.725080900000002,-43.39575,-22.725063999327
RES_0062,3300456,255,True,106,1.0,-43.390798838736835,-22.724119550000005,-43.392285,-22.724176999327
RES_0063,3300456,411,True,164,1.0,-43.401743824371586,-22.723744299999996,-43.401852,-22.7238309993271
RES_0064,3300456,528,True,217,1.0,-43.40090859561461,-22.719480249999997,-43.400942,-22.7194329993272
RES_0065,3300456,1353,True,529,1.0,-43.3974621,-22.7176934,-43.397712,-22.7177519993272
RES_0066,3300456,424,True,158,1.0,-43.394701299999994,-22.716929450000002,-43.395225,-22.7170249993272
RES_0067,3300456,1442,True,620,1.0,-43.4042768221729,-22.737892049999992,-43.404654,-22.7383219993267
RES_0068,3300456,5524,True,2239,1.0,-43.398831,-22.7395157,-43.399182,-22.7385189993267
RES_0069,3300456,2624,True,1108,1.0,-43.3984334,-22.73559805,-43.398116,-22.7351889993268
RES_0070,3300456,2196,True,845,1.0,-43.392940700467726,-22.73146225,-43.393355,-22.7322489993269
RES_0071,3300456,1517,True,600,1.0,-43.38902135000001,-22.7258316,-43.388548,-22.725433999327
RES_0072,3300456,487,True,188,1.0,-43.389169946866474,-22.720440550000003,-43.389251,-22.7217189993271
RES_0073,3300456,751,True,329,1.0,-43.38646389370696,-22.721388199999996,-43.386289,-22.7209099993271
RES_0074,3300456,713,True,288,1.0,-43.401035750000005,-22.736933899999997,-43.400917,-22.7381939993267
RES_0075,3300456,765,True,328,1.0,-43.39915590669882,-22.731678999999996,-43.399033,-22.7317649993269
RES_0076,3300456,1124,True,524,1.0,-43.3973839,-22.729039599999997,-43.397468,-22.7289129993269
RES_0077,3300456,363,True,187,1.0,-43.3955972,-22.72823165,-43.3957,-22.7283609993269
RES_0078,3300456,390,True,165,1.0,-43.393355050000004,-22.7279263,-43.393666,-22.728451999327
RES_0079,3300456,500,False,0,,-43.421372046088905,-22.7313773,-43.421372046088905,-22.7313773
RES_0080,3300456,2537,True,1014,1.0,-43.41108255,-22.7310091,-43.412733,-22.7312839993269
RES_0081,3300456,1273,True,453,1.0,-43.412674890539634,-22.72739825,-43.412605,-22.726435999327
RES_0082,3300456,576,True,239,1.0,-43.408068225421346,-22.736677949999994,-43.407948,-22.7373149993268
