municipality_code,origins,workplaces,support_edges,nearest_road_destinations
3300456,2820,47,39968,10
3300803,709,28,19852,28
3301702,5471,159,125778,20
3301801,64,3,192,3
3301850,1152,39,14540,10
3301900,2465,96,35817,10
3302007,4189,99,63821,10
3302270,2500,48,36038,10
3302502,2045,123,31776,10
3302601,148,8,1184,8
3302700,2829,70,37715,10
3302858,2264,14,24712,10
3302908,42,5,210,5
3303203,2123,11,21826,10
3303302,4633,75,55110,10
3303500,3300,167,49185,10
3303609,1892,74,31084,10
3303906,40,2,80,2
3304003,2105,72,48044,20
3304144,2486,43,35975,10
3304409,121,2,242,2
3304557,6567,507,295912,40
3304904,614,118,9538,10
3305109,2691,25,33047,10
3305554,2960,113,44064,10
