measure,lower,upper,commuters,share
distance_m,0,5000.0,1597333,0.3618265782667975
distance_m,5000,10000.0,1313684,0.29757463637440634
distance_m,10000,20000.0,548191,0.12417578161013013
distance_m,20000,40000.0,576470,0.13058151780089733
distance_m,40000,60000.0,287244,0.06506627838257144
distance_m,60000,100000.0,90583,0.020518787841446534
distance_m,100000,inf,1132,0.0002564197237507863
seconds,0,900.0,3163126,0.7165087412623053
seconds,900,1800.0,711000,0.16105514451131542
seconds,1800,3600.0,525805,0.11910492300952491
seconds,3600,5400.0,14437,0.0032702575545848957
seconds,5400,7200.0,268,6.0707143078808065e-05
seconds,7200,inf,1,2.265191905925674e-07
