municipality_code,seconds_above,seconds_at_most,census_car_commuters_2022,census_share,modeled_all_commuters_road_time,modeled_share,share_difference_percentage_points,interpretation
3300456,0,300.0,608,0.034053993502856504,31426,0.19474740964751375,16.069341614465724,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300456,300,900.0,1955,0.10949927187184945,65482,0.4057929701055971,29.62936982337477,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300456,900,1800.0,4507,0.2524364288114708,47148,0.2921768876109266,3.974045879945576,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300456,1800,3600.0,5585,0.3128150554497592,17302,0.10722076248078925,-20.55942929689699,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300456,3600,7200.0,4643,0.26005376946342557,10,6.197015517326855e-05,-25.99917993082523,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300456,7200,14400.0,556,0.03114148090063851,0,0.0,-3.114148090063851,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300456,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,0,300.0,477,0.16153064679986454,1,0.011111111111111112,-15.041953568875343,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,300,900.0,748,0.2533017270572299,11,0.12222222222222222,-13.107950483500769,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,900,1800.0,794,0.2688791059939045,12,0.13333333333333333,-13.55457726605712,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,1800,3600.0,616,0.20860142228242465,26,0.28888888888888886,8.028746660646421,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,3600,7200.0,318,0.10768709786657636,40,0.4444444444444444,33.675734657786805,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,7200,14400.0,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3300803,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,0,300.0,2126,0.044725880422434465,43186,0.14179986603448955,9.707398561205508,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,300,900.0,7363,0.15489965077628645,171258,0.5623202301054651,40.74205793291787,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,900,1800.0,14133,0.2973240207009719,74565,0.24483182074889348,-5.249219995207843,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,1800,3600.0,14068,0.2959565784491101,15031,0.049353813420192016,-24.660276502891808,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,3600,7200.0,9009,0.18952749610804898,516,0.0016942696909599548,-18.783322641708903,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,7200,14400.0,835,0.01756637354314806,0,0.0,-1.7566373543148062,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301702,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
