id,target_jobs,actual_jobs
WRK_0000,98,98
WRK_0001,499,499
WRK_0002,273,273
WRK_0003,1125,1125
WRK_0004,412,412
WRK_0005,1352,1352
WRK_0006,5901,5901
WRK_0007,1630,1630
WRK_0008,1564,1564
WRK_0009,1023,1023
WRK_0010,9,9
WRK_0011,17226,17226
WRK_0012,8074,8074
WRK_0013,5344,5344
WRK_0014,3548,3548
WRK_0015,935,935
WRK_0016,97,97
WRK_0017,2760,2760
WRK_0018,2307,2307
WRK_0019,7597,7597
WRK_0020,3426,3426
WRK_0021,939,939
WRK_0022,45,45
WRK_0023,2316,2316
WRK_0024,1627,1627
WRK_0025,5036,5036
WRK_0026,1000,1000
WRK_0027,5,5
WRK_0028,2,2
WRK_0029,81,81
WRK_0030,3009,3009
WRK_0031,1373,1373
WRK_0032,2394,2394
WRK_0033,532,532
WRK_0034,6,6
WRK_0035,6,6
WRK_0036,1303,1303
WRK_0037,3669,3669
WRK_0038,2201,2201
WRK_0039,1659,1659
WRK_0040,511,511
WRK_0041,193,193
WRK_0042,1558,1558
WRK_0043,2071,2071
WRK_0044,4358,4358
WRK_0045,1057,1057
WRK_0046,948,948
WRK_0047,71,71
WRK_0048,20,20
WRK_0049,216,216
WRK_0050,68,68
WRK_0051,4,4
WRK_0052,64,64
WRK_0053,49,49
WRK_0054,119,119
WRK_0055,5,5
WRK_0056,7,7
WRK_0057,18,18
WRK_0058,97,97
WRK_0059,61,61
WRK_0060,18,18
WRK_0061,21,21
WRK_0062,61,61
WRK_0063,11,11
WRK_0064,52,52
WRK_0065,35,35
WRK_0066,49,49
WRK_0067,43,43
WRK_0068,15,15
WRK_0069,11,11
WRK_0070,17,17
WRK_0071,9,9
WRK_0072,31,31
WRK_0073,138,138
WRK_0074,3,3
WRK_0075,21,21
WRK_0076,50,50
WRK_0077,261,261
WRK_0078,15,15
WRK_0079,61,61
WRK_0080,91,91
WRK_0081,2,2
WRK_0082,5,5
WRK_0083,14,14
WRK_0084,19,19
WRK_0085,8,8
WRK_0086,11,11
WRK_0087,23,23
WRK_0088,32,32
WRK_0089,25,25
WRK_0090,9,9
WRK_0091,99,99
WRK_0092,751,751
WRK_0093,21,21
WRK_0094,17,17
WRK_0095,45,45
WRK_0096,97,97
WRK_0097,17,17
WRK_0098,47,47
WRK_0099,2,2
WRK_0100,536,536
WRK_0101,18,18
WRK_0102,19,19
WRK_0103,12,12
WRK_0104,58,58
WRK_0105,14,14
WRK_0106,50,50
WRK_0107,14,14
WRK_0108,51,51
WRK_0109,5,5
WRK_0110,26,26
WRK_0111,3268,3268
WRK_0112,1809,1809
WRK_0113,982,982
WRK_0114,539,539
WRK_0115,410,410
WRK_0116,328,328
WRK_0117,19,19
WRK_0118,8,8
WRK_0119,309,309
WRK_0120,1,1
WRK_0121,37,37
WRK_0122,217,217
WRK_0123,21,21
WRK_0124,9959,9959
WRK_0125,10831,10831
WRK_0126,3323,3323
WRK_0127,2565,2565
WRK_0128,3797,3797
WRK_0129,4610,4610
WRK_0130,2359,2359
WRK_0131,72,72
WRK_0132,4,4
WRK_0133,57,57
WRK_0134,295,295
WRK_0135,24,24
WRK_0136,30,30
WRK_0137,35,35
WRK_0138,670,670
WRK_0139,503,503
WRK_0140,273,273
WRK_0141,36,36
WRK_0142,18514,18514
WRK_0143,13862,13862
WRK_0144,4067,4067
WRK_0145,5594,5594
WRK_0146,1078,1078
WRK_0147,1446,1446
WRK_0148,2876,2876
WRK_0149,1991,1991
WRK_0150,2658,2658
WRK_0151,4510,4510
WRK_0152,1466,1466
WRK_0153,516,516
WRK_0154,276,276
WRK_0155,101,101
WRK_0156,1008,1008
WRK_0157,3608,3608
WRK_0158,2091,2091
WRK_0159,8,8
WRK_0160,1297,1297
WRK_0161,13926,13926
WRK_0162,7913,7913
WRK_0163,7349,7349
WRK_0164,8730,8730
WRK_0165,2,2
WRK_0166,1748,1748
WRK_0167,1991,1991
WRK_0168,13427,13427
WRK_0169,9815,9815
WRK_0170,3638,3638
WRK_0171,5428,5428
WRK_0172,492,492
WRK_0173,1191,1191
WRK_0174,1774,1774
WRK_0175,1620,1620
WRK_0176,538,538
WRK_0177,12,12
WRK_0178,243,243
WRK_0179,30,30
WRK_0180,671,671
WRK_0181,3015,3015
WRK_0182,2026,2026
WRK_0183,4216,4216
WRK_0184,4248,4248
WRK_0185,5606,5606
WRK_0186,1962,1962
WRK_0187,5432,5432
WRK_0188,1229,1229
WRK_0189,60,60
WRK_0190,2421,2421
WRK_0191,65,65
WRK_0192,132,132
WRK_0193,157,157
WRK_0194,1737,1737
WRK_0195,15774,15774
WRK_0196,3739,3739
WRK_0197,811,811
WRK_0198,2418,2418
WRK_0199,1415,1415
WRK_0200,7,7
WRK_0201,29,29
WRK_0202,46,46
WRK_0203,3,3
WRK_0204,0,0
WRK_0205,781,781
WRK_0206,2255,2255
WRK_0207,1913,1913
WRK_0208,281,281
WRK_0209,3066,3066
WRK_0210,1265,1265
WRK_0211,128,128
