id,municipality_code,formal_links_2024_weight,informal_spatial_weight,weight,address_units,representative_unit,representative_activity,grid_m,lon,lat
WRK_0000,3300456,10.573044586558545,4.983671176780629e-05,2.231342273775925e-05,36,40230643,other,1500,-43.427905,-22.7366139993268
WRK_0001,3300456,29.772850409008804,0.0002648228975564483,0.00011384278122031015,218,40250831,education,1500,-43.43033,-22.726987999327
WRK_0002,3300456,14.392122769410612,0.0001458182901954878,6.232654653948217e-05,94,95628416,personal_services,1500,-43.428389,-22.7122459993273
WRK_0003,3300456,97.85122847134784,0.0005834274879032169,0.0002565786561054337,455,196746924,other,1500,-43.429448,-22.7056679993275
WRK_0004,3300456,171.13177517067032,0.0001547028860232332,9.401815758374566e-05,69,40168199,personal_services,1500,-43.412963,-22.7631909993262
WRK_0005,3300456,244.54374101008483,0.0006456716415937746,0.00030833691176910155,418,94986403,personal_services,1500,-43.4154,-22.7529129993264
WRK_0006,3300456,2682.1824750478054,0.0021120941833514192,0.0013454756700527993,1391,40211942,other,1500,-43.418182,-22.7414169993267
WRK_0007,3300456,316.80350397562717,0.0007683891261174856,0.000371553946118213,648,40249380,retail,1500,-43.421745,-22.728816999327
WRK_0008,3300456,85.76541070978963,0.0008327668497899615,0.0003565855967782081,550,197017012,personal_services,1500,-43.420765,-22.7135529993273
WRK_0009,3300456,25.771173325289517,0.0005579574655234034,0.0002332421342298727,457,43071833,other,1500,-43.420903,-22.7049419993275
WRK_0010,3300456,11.68172561201764,2.307273322182978e-08,2.1000837585411716e-06,1,40202185,other,1500,-43.399332,-22.7751129993259
WRK_0011,3300456,17504.34282081609,0.0019407158889388587,0.003927911142156679,1139,40203043,other,1500,-43.400808,-22.7666629993261
WRK_0012,3300456,4829.092387500094,0.002384028277594953,0.0018411274893817761,1574,40163023,other,1500,-43.405784,-22.7557519993263
WRK_0013,3300456,2079.8383661422413,0.002065470378509604,0.001218571991153311,1686,40220343,other,1500,-43.405488,-22.7420249993266
WRK_0014,3300456,888.9770758023831,0.0015859545802444878,0.0008089610107343279,1266,224838687,retail,1500,-43.403818,-22.725582999327
WRK_0015,3300456,55.638755334663855,0.000496202260538015,0.00021328245068905486,430,40265580,personal_services,1500,-43.404904,-22.7165499993272
WRK_0016,3300456,1.2061658292738042,5.3444007509942916e-05,2.2115205812244408e-05,49,40262679,personal_services,1500,-43.407808,-22.7021259993276
WRK_0017,3300456,2703.2914831680355,0.00035526211550867073,0.0006293697824547564,161,40200804,other,1500,-43.395485,-22.769590999326
WRK_0018,3300456,1383.7943137219004,0.0006794712831530984,0.0005260736282496415,557,40279253,other,1500,-43.392967,-22.7541819993264
WRK_0019,3300456,5527.959089479546,0.0018132452310900063,0.0017323153148779762,1449,40227062,personal_services,1500,-43.39008,-22.7394979993267
WRK_0020,3300456,1961.7349561892217,0.0010494999294766694,0.0007811290566425521,880,40240013,other,1500,-43.390599,-22.7301729993269
WRK_0021,3300456,107.89868583885789,0.00047542969834023723,0.00021412337679531135,392,40262169,vehicle_trade,1500,-43.38881,-22.7150939993273
WRK_0022,3300456,2.4605151433723926,2.3881231855956245e-05,1.0225978322678729e-05,21,40296719,vehicle_trade,1500,-43.370862,-22.7617369993262
WRK_0023,3300456,865.1686613811156,0.0009108827387911066,0.0005280810785614229,725,224166081,vehicle_trade,1500,-43.374249,-22.7558619993263
