municipality_code,census_employed_14_plus,age_15_59_in_map,age_15_59_full_municipality,coverage_proxy,modeled_workers
3300456,172092,315717.06128033233,315717.06128033233,1.0,172092
3300803,23680,960.3495274031536,35797.71821756225,0.026827115671635437,635
3301702,322148,516841.8561314565,518831.54981038545,0.9961650487915469,320913
3301801,5374,106.48144084394195,7560.113415828363,0.014084635373459508,76
3301850,20107,8526.489272252937,32951.10545624854,0.2587618580376354,5203
3301900,91192,136049.79496448342,144345.4977129107,0.9425288430891926,85951
3302007,46144,74314.70348215825,74336.33489053612,0.9997090062563654,46131
3302270,29028,63173.55558742732,63173.55558742733,0.9999999999999999,29028
3302502,85490,137845.10991000873,144640.04726315418,0.9530217427212055,81474
3302601,17268,851.6315883813835,25848.219759490687,0.03294739816921783,569
3302700,84948,91756.27515183698,124092.58952914867,0.7394178451750653,62812
3302809,7565,2.148288973384023,10563.877623621487,0.00020336178152805513,2
3302858,60199,106934.40446119374,106934.40446119373,1.0,60199
3302908,11871,180.38938053097345,15775.814032455482,0.01143455292765619,136
3303203,56741,92755.0,92755.0,1.0,56741
3303302,226952,296411.20466894744,296411.2046689475,0.9999999999999998,226952
3303500,292721,505883.1727276209,505886.3913790682,0.9999936376002555,292719
3303609,16774,26170.479435751156,26702.878385619642,0.9800621138223361,16440
3303906,128901,12.355555555555542,173536.7096693559,7.1198512286518e-05,9
3304003,12053,5623.681523418409,17181.098535540856,0.32731792508990326,3945
3304144,52980,91001.98481696725,91001.98481696725,1.0,52980
3304409,6912,41.95575081023922,10927.56418193304,0.003839442176839947,27
3304557,2747323,3918963.616217144,3918963.616217144,1.0,2747323
3304904,367876,576042.4874090013,576042.4874090013,1.0,367876
3305109,174021,282017.5959979581,282017.59599795815,0.9999999999999998,174021
3305554,31152,51298.25112876781,51298.25112876781,1.0,31152
